timestamp,bid1_price,bid1_qty,bid2_price,bid2_qty,bid3_price,bid3_qty,bid4_price,bid4_qty,bid5_price,bid5_qty,ask1_price,ask1_qty,ask2_price,ask2_qty,ask3_price,ask3_qty,ask4_price,ask4_qty,ask5_price,ask5_qty,spread,midprice,total_buy_qty,total_sell_qty
2026-06-12T06:37:20.531,55955.8,180,55949.6,30,55941.4,60,55940.4,30,55936.2,30,55957,300,55960,120,55968,30,55969.2,90,55969.4,90,1.1999999999970896,55956.4,330,630
2026-06-12T06:37:22.419,55955.8,180,55949.6,30,55941.8,30,55941.4,60,55940.4,30,55957,300,55960,120,55968,30,55969.4,90,55969.6,60,1.1999999999970896,55956.4,330,600
2026-06-12T06:37:23.542,55955.8,180,55949.6,30,55941.8,30,55941.4,60,55940.4,30,55957,300,55960,120,55968,30,55969.4,90,55969.6,60,1.1999999999970896,55956.4,330,600
2026-06-12T06:37:24.657,55955.8,180,55949.6,30,55941.8,30,55941.4,60,55940.4,30,55957,300,55960,120,55968,30,55969.4,90,55969.6,60,1.1999999999970896,55956.4,330,600
2026-06-12T06:37:25.773,55955.8,180,55949.6,30,55941.4,60,55940.4,30,55936.2,30,55957,300,55960,120,55968,30,55969.4,60,55970,150,1.1999999999970896,55956.4,330,660
2026-06-12T06:37:26.938,55955.8,180,55949.6,30,55941.4,60,55940.4,30,55936.2,30,55957,300,55960,120,55968,30,55969.4,60,55970,150,1.1999999999970896,55956.4,330,660
2026-06-12T06:37:28.048,55955.8,180,55949.6,30,55941.4,60,55940.4,30,55936.2,30,55957,300,55960,120,55968,30,55968.8,30,55969.4,30,1.1999999999970896,55956.4,330,510
2026-06-12T06:37:29.161,55955.8,180,55949.6,30,55941.4,60,55940.4,30,55936.2,30,55957,300,55960,120,55968,30,55969.2,90,55969.4,30,1.1999999999970896,55956.4,330,570
2026-06-12T06:37:30.298,55955.8,180,55949.6,30,55941.4,60,55939,30,55936.2,30,55957,300,55960,120,55967.2,30,55968,30,55969.2,120,1.1999999999970896,55956.4,330,600
2026-06-12T06:37:31.416,55955.8,180,55949.6,30,55941.4,60,55939,30,55936.2,30,55957,300,55960,120,55966.6,30,55968,30,55968.8,60,1.1999999999970896,55956.4,330,540
2026-06-12T06:37:32.527,55955.8,210,55949.6,30,55941.4,60,55937.6,30,55936.2,30,55957,300,55960,120,55966,30,55967.6,30,55967.8,120,1.1999999999970896,55956.4,360,600
2026-06-12T06:37:33.823,55955.8,210,55949.6,30,55941.4,60,55937.6,30,55936.2,30,55957,300,55960,120,55965.2,30,55966.6,300,55966.8,90,1.1999999999970896,55956.4,360,840
2026-06-12T06:37:34.957,55955.8,210,55949.6,30,55941.4,60,55936,30,55935,30,55957,300,55960,120,55964.6,30,55965,300,55965.8,90,1.1999999999970896,55956.4,360,840
2026-06-12T06:37:36.067,55941.8,30,55941.4,60,55936,30,55931.2,30,55930.6,30,55957,300,55959.2,30,55960,120,55961.2,90,55961.4,330,15.19999999999709,55949.4,180,870
2026-06-12T06:37:37.174,55941.4,60,55936.4,30,55936.2,30,55936,30,55931.2,30,55957,300,55959.8,30,55960,120,55961.2,90,55961.4,330,15.599999999998545,55949.2,180,870
2026-06-12T06:37:38.293,55941.4,60,55936.4,30,55936.2,30,55936,30,55931.2,30,55957,300,55959.8,30,55960,120,55961.2,90,55961.4,330,15.599999999998545,55949.2,180,870
2026-06-12T06:37:39.406,55955.8,210,55949.6,30,55941.4,60,55936,30,55935,30,55957,300,55960,120,55964.6,30,55965,300,55965.8,90,1.1999999999970896,55956.4,360,840
2026-06-12T06:37:40.528,55955.8,210,55949.6,30,55941.4,60,55936,30,55935,30,55957,300,55960,120,55964.6,30,55965,300,55965.8,90,1.1999999999970896,55956.4,360,840
2026-06-12T06:37:41.768,55940.2,60,55936.6,30,55936.4,30,55936,30,55931.2,30,55955.8,30,55957,300,55959,30,55959.6,120,55959.8,120,15.60000000000582,55948.0,180,600
2026-06-12T06:37:42.918,55938.4,60,55938.2,30,55937.6,30,55936,30,55931.2,30,55954.8,30,55955.8,30,55956.6,30,55956.8,150,55957,330,16.400000000001455,55946.600000000006,180,570
2026-06-12T06:37:45.157,55938.4,60,55936.4,60,55936,30,55931.2,30,55925.2,30,55952.8,30,55954.6,60,55954.8,120,55955,150,55955.2,240,14.400000000001455,55945.600000000006,210,600
2026-06-12T06:37:46.279,55938.4,60,55936.4,60,55936,30,55931.2,30,55925,30,55952.6,90,55952.8,30,55953.4,150,55953.8,60,55954,90,14.19999999999709,55945.5,210,420
2026-06-12T06:37:47.414,55938.4,120,55936,30,55931.2,30,55925,30,55923.2,30,55951.6,30,55952.8,30,55953,30,55953.2,90,55953.4,60,13.19999999999709,55945.0,240,240
2026-06-12T06:37:48.579,55938.4,120,55936,30,55931.2,30,55925,30,55924.4,30,55951.6,30,55952.8,30,55953,30,55953.4,120,55953.6,90,13.19999999999709,55945.0,240,300
2026-06-12T06:37:49.759,55938.4,120,55936,30,55931.2,30,55925,30,55924.4,30,55951.6,30,55952.8,30,55953.4,30,55953.8,90,55954,90,13.19999999999709,55945.0,240,270
2026-06-12T06:37:50.876,55938.4,60,55938.2,30,55937.6,30,55936,30,55931.2,30,55954.8,30,55955.8,30,55956.6,30,55956.8,150,55957,330,16.400000000001455,55946.600000000006,180,570
